Time(s)	Velocity_X(km/s)	Position_X(km)
35.0	-0.00018740308899929385	7099.996716504695
35.2	-0.00018847011691705735	7099.996679024077
35.3	-0.00018900358177498412	7099.9966600436865
35.8	-0.0001916708515676119	7099.996564875153
35.888888888888886	-0.0001921450043482886	7099.996547816842
36.0	-0.00019273768315939535	7099.996526434453
36.0	-0.00019273768311172526	7099.996526434217
36.2	-0.00019380449286141856	7099.99648788668
36.3	-0.0001943378486656627	7099.99646837288
36.8	-0.00019700457322354304	7099.996370537349
36.888888888888886	-0.00019747862909120297	7099.9963530049345
37.0	-0.00019807118676858703	7099.996331029926
37.0	-0.00019807118672097646	7099.996331029692
37.2	-0.00019913777843744935	7099.996291415454
37.3	-0.00019967102525541072	7099.996271368353
37.8	-0.00020233720491551535	7099.9961708663695
37.888888888888886	-0.00020281116393005015	7099.996152859947
38.0	-0.00020340360054856978	7099.996130292442
38.0	-0.00020340360050101862	7099.996130292207
38.2	-0.00020446997431900981	7099.996089611487
38.3	-0.00020500311221803281	7099.996069031193
38.8	-0.00020766874731705594	7099.995965863303
38.888888888888886	-0.00020814260953830788	7099.9959473829695
39.0	-0.00020873492517275966	7099.995924223088
39.0	-0.00020873492512526792	7099.995924222854
39.2	-0.00020980108117940518	7099.99588247587
39.3	-0.0002103341102267787	7099.995861362491
39.8	-0.0002129992011011373	7099.9957555292385
39.888888888888886	-0.0002134729665888994	7099.9957365750915
40.0	-0.0002140651613140184	7099.995712822954
40.0	-0.00021406516126658593	7099.995712822721
40.2	-0.00021513109969138614	7099.995670009688
40.3	-0.00021566401995434377	7099.995648363336
40.8	-0.00021832856694017786	7099.995539865265
40.888888888888886	-0.00021880223575419385	7099.995520437399
41.0	-0.00021939430964465357	7099.995496093129
41.0	-0.00021939430959728038	7099.995496092894
41.2	-0.00022046003052714975	7099.995452214032
41.3	-0.00022099284207286965	7099.9954300348145
41.8	-0.00022365684550604257	7099.995318872468
41.888888888888886	-0.00022413041770600714	7099.995298970982
42.0	-0.00022472237083641963	7099.995274034698
42.0	-0.0002247223707891056	7099.995274034463
42.2	-0.0002257878743583397	7099.995229089989
42.3	-0.00022632057725394475	7099.995206378014
42.8	-0.0002289840374700435	7099.995092551935
42.888888888888886	-0.0002294575131156021	7099.9950721769255
43.0	-0.00023004934556051805	7099.995046648748
43.0	-0.00023004934551326312	7099.995046648514
43.2	-0.00023111463185604701	7099.995000638645
43.3	-0.00023164722616860492	7099.994977394022
43.8	-0.0002343101435029404	7099.994860904753
43.888888888888886	-0.00023478352265368944	7099.994840056317
44.0	-0.00023537523448759816	7099.994813936368
44.0	-0.00023537523444040225	7099.994813936134
44.2	-0.0002364403036908106	7099.994766861088
44.3	-0.0002369727894873339	7099.994743083923
44.8	-0.00023963516427494112	7099.99462393201
44.888888888888886	-0.00024010844699042807	7099.994602610242
45.0	-0.0002407000382877576	7099.9945758986405
45.0	-0.00024070003824062065	7099.994575898408
45.2	-0.0002417648905326179	7099.9945277584
45.3	-0.00024229726788006398	7099.994503448805
45.8	-0.0002449591004557025	7099.994381634787
45.888888888888886	-0.00024543228679542575	7099.994359839785
46.0	-0.00024602375763054294	7099.994332536653
46.0	-0.0002460237575834649	7099.994332536419
46.2	-0.00024708839305090526	7099.994283331668
46.3	-0.0002476206620161765	7099.994258489749
46.8	-0.0002502819527143306	7099.9941340141695
46.888888888888886	-0.00025075504273773964	7099.994111746029
47.0	-0.0002513463931849503	7099.994083851487
47.0	-0.00025134639313793107	7099.994083851254
47.2	-0.0002524108119145587	7099.994033581976
47.3	-0.00025294297256450244	7099.994008207842
47.8	-0.0002556037217193814	7099.993881071243
47.888888888888886	-0.00025607671548587697	7099.99385833006
48.0	-0.00025666794561942567	7099.993829844228
48.0	-0.0002566679455724652	7099.993829843995
48.2	-0.00025773214779191444	7099.993778510406
48.3	-0.00025826420019332304	7099.993752604166
48.8	-0.00026092440813886157	7099.993622807088
